Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,5.656250,5.453125,5.531250,0.483204,115200
1973-02-22,0.000000,5.515625,5.437500,5.437500,0.475014,178400
1973-02-23,0.000000,5.500000,5.406250,5.468750,0.477744,75200
1973-02-26,0.000000,5.421875,5.265625,5.375000,0.469554,157600
1973-02-27,0.000000,5.406250,4.843750,4.859375,0.424509,248800
1973-02-28,0.000000,5.031250,4.750000,5.000000,0.436794,460800
1973-03-01,0.000000,5.187500,4.812500,4.812500,0.420415,287200
1973-03-02,0.000000,4.906250,4.562500,4.906250,0.428604,338400
1973-03-05,0.000000,5.093750,4.906250,5.078125,0.443619,392800
1973-03-06,0.000000,5.218750,5.093750,5.218750,0.455904,175200
1973-03-07,0.000000,5.359375,5.250000,5.296875,0.462729,280800
1973-03-08,0.000000,5.406250,5.328125,5.375000,0.469554,185600
1973-03-09,0.000000,5.390625,5.312500,5.375000,0.469554,331200
1973-03-12,0.000000,5.437500,5.312500,5.359375,0.468189,108000
1973-03-13,0.000000,5.500000,5.328125,5.406250,0.472284,186400
1973-03-14,0.000000,5.609375,5.500000,5.546875,0.484569,115200
1973-03-15,0.000000,5.609375,5.500000,5.500000,0.480474,63200
1973-03-16,0.000000,5.531250,5.375000,5.515625,0.481839,200800
1973-03-19,0.000000,5.515625,5.343750,5.375000,0.469554,100000
1973-03-20,0.000000,5.375000,5.218750,5.265625,0.459999,131200
1973-03-21,0.000000,5.312500,4.890625,4.890625,0.427239,92800
1973-03-22,0.000000,5.046875,4.875000,5.000000,0.436794,111200
1973-03-23,0.000000,5.031250,4.921875,4.953125,0.432699,154400
1973-03-26,0.000000,5.203125,5.000000,5.203125,0.454539,88800
1973-03-27,0.000000,5.265625,5.140625,5.140625,0.449079,130400
1973-03-28,0.000000,5.156250,5.062500,5.125000,0.447714,155200
1973-03-29,0.000000,5.218750,5.125000,5.140625,0.449079,272000
1973-03-30,0.000000,5.140625,5.046875,5.109375,0.446349,103200
1973-04-02,0.000000,5.109375,5.000000,5.031250,0.439524,73600
1973-04-03,0.000000,5.031250,4.906250,4.906250,0.428604,184800
1973-04-04,0.000000,4.906250,4.828125,4.843750,0.423144,143200
1973-04-05,0.000000,4.875000,4.781250,4.859375,0.424509,66400
1973-04-06,0.000000,4.906250,3.609375,4.906250,0.428604,49600
1973-04-09,0.000000,5.171875,4.906250,5.171875,0.451809,94400
