Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.546875,4.546875,4.546875,4.546875,1.760771,20000
1973-02-22,4.578125,4.578125,4.578125,4.578125,1.772872,6400
1973-02-23,4.734375,4.734375,4.734375,4.734375,1.833380,43200
1973-02-26,4.734375,4.734375,4.734375,4.734375,1.833380,4800
1973-02-27,4.671875,4.671875,4.671875,4.671875,1.809176,1600
1973-02-28,4.625000,4.625000,4.625000,4.625000,1.791025,65600
1973-03-01,4.640625,4.640625,4.640625,4.640625,1.797074,3200
1973-03-02,4.625000,4.625000,4.625000,4.625000,1.791025,1600
1973-03-05,4.593750,4.593750,4.593750,4.593750,1.778923,14400
1973-03-06,4.609375,4.609375,4.609375,4.609375,1.784972,108000
1973-03-07,4.500000,4.500000,4.500000,4.500000,1.742617,36000
1973-03-08,4.500000,4.500000,4.500000,4.500000,1.742617,8000
1973-03-09,4.375000,4.375000,4.375000,4.375000,1.694212,16800
1973-03-12,4.250000,4.250000,4.250000,4.250000,1.645806,17600
1973-03-13,4.312500,4.312500,4.312500,4.312500,1.670010,14400
1973-03-14,4.265625,4.265625,4.265625,4.265625,1.651857,13600
1973-03-15,4.250000,4.250000,4.250000,4.250000,1.645806,28000
1973-03-16,4.250000,4.250000,4.250000,4.250000,1.645806,121600
1973-03-19,4.265625,4.265625,4.265625,4.265625,1.651857,16800
1973-03-20,4.218750,4.218750,4.218750,4.218750,1.633705,20000
1973-03-21,4.156250,4.156250,4.156250,4.156250,1.609502,16800
1973-03-22,3.890625,3.890625,3.890625,3.890625,1.506638,16000
1973-03-23,3.812500,3.812500,3.812500,3.812500,1.476386,44000
1973-03-26,3.781250,3.781250,3.781250,3.781250,1.464283,25600
1973-03-27,4.000000,4.000000,4.000000,4.000000,1.548995,25600
1973-03-28,4.234375,4.234375,4.234375,4.234375,1.639755,12800
1973-03-29,4.375000,4.375000,4.375000,4.375000,1.694212,25600
1973-03-30,4.375000,4.375000,4.375000,4.375000,1.694212,35200
1973-04-02,4.343750,4.343750,4.343750,4.343750,1.682110,16000
1973-04-03,4.203125,4.203125,4.203125,4.203125,1.627653,127200
1973-04-04,4.093750,4.093750,4.093750,4.093750,1.585299,32800
1973-04-05,4.000000,4.000000,4.000000,4.000000,1.548995,29600
1973-04-06,3.906250,3.906250,3.906250,3.906250,1.512689,55200
1973-04-09,4.031250,4.031250,4.031250,4.031250,1.561095,36000
1973-04-10,4.125000,4.125000,4.125000,4.125000,1.597399,12000
1973-04-11,4.125000,4.125000,4.125000,4.125000,1.597399,53600
1973-04-12,4.125000,4.125000,4.125000,4.125000,1.597399,16000
1973-04-13,4.093750,4.093750,4.093750,4.093750,1.585299,12000
1973-04-16,3.968750,3.968750,3.968750,3.968750,1.536892,24000
1973-04-17,4.031250,4.031250,4.031250,4.031250,1.561095,12800
1973-04-18,4.031250,4.031250,4.031250,4.031250,1.561095,2400
1973-04-19,4.062500,4.062500,4.062500,4.062500,1.573198,25600
1973-04-23,4.125000,4.125000,4.125000,4.125000,1.597399,10400
1973-04-24,4.062500,4.062500,4.062500,4.062500,1.573198,3200
1973-04-25,4.062500,4.062500,4.062500,4.062500,1.573198,12800
1973-04-26,4.093750,4.093750,4.093750,4.093750,1.585299,25600
1973-04-27,4.078125,4.078125,4.078125,4.078125,1.579248,4000
1973-04-30,4.015625,4.015625,4.015625,4.015625,1.555045,20000
1973-05-01,3.812500,3.812500,3.812500,3.812500,1.476386,41600
1973-05-02,3.875000,3.875000,3.875000,3.875000,1.500588,38400
1973-05-03,0.000000,4.000000,3.906250,4.000000,1.548995,13600
1973-05-04,0.000000,4.171875,4.031250,4.125000,1.597399,13600
1973-05-07,0.000000,4.093750,4.062500,4.062500,1.573198,4800
1973-05-08,0.000000,4.093750,3.968750,4.000000,1.548995,7200
1973-05-09,0.000000,3.968750,3.875000,3.921875,1.518740,283200
1973-05-10,0.000000,3.984375,3.921875,3.984375,1.542944,4000
1973-05-11,0.000000,3.984375,3.953125,3.953125,1.530842,24800
1973-05-14,0.000000,3.921875,3.875000,3.875000,1.500588,10400
1973-05-15,0.000000,3.875000,3.843750,3.843750,1.488487,57600
1973-05-16,0.000000,3.812500,3.796875,3.796875,1.470334,121600
1973-05-17,0.000000,3.812500,3.734375,3.734375,1.446131,23200
1973-05-18,0.000000,3.734375,3.468750,3.468750,1.343268,49600
1973-05-21,0.000000,3.468750,3.375000,3.406250,1.319065,60000
1973-05-22,0.000000,3.500000,3.406250,3.484375,1.349319,39200
1973-05-23,0.000000,3.625000,3.500000,3.625000,1.403775,9600
1973-05-24,0.000000,3.703125,3.625000,3.703125,1.434030,9600
1973-05-25,0.000000,3.921875,3.812500,3.828125,1.482435,50400
1973-05-29,0.000000,3.890625,3.812500,3.812500,1.476386,35200
1973-05-30,0.000000,3.781250,3.656250,3.656250,1.415877,18400
1973-05-31,0.000000,3.625000,3.546875,3.546875,1.373522,10400
1973-06-01,0.000000,3.531250,3.500000,3.531250,1.367471,38400
1973-06-04,0.000000,3.531250,3.468750,3.500000,1.355369,30400
1973-06-05,0.000000,3.687500,3.500000,3.625000,1.403775,22400
1973-06-06,0.000000,3.593750,3.500000,3.515625,1.361421,16800
1973-06-07,0.000000,3.562500,3.500000,3.562500,1.379573,11200
1973-06-08,0.000000,3.609375,3.578125,3.578125,1.385623,11200
1973-06-11,0.000000,3.640625,3.609375,3.625000,1.403775,4800
1973-06-12,0.000000,3.734375,3.671875,3.734375,1.446131,4000
1973-06-13,0.000000,3.781250,3.750000,3.750000,1.452182,15200
1973-06-14,0.000000,3.890625,3.703125,3.875000,1.500588,19200
1973-06-15,0.000000,3.843750,3.750000,3.750000,1.452182,70400
1973-06-18,0.000000,3.718750,3.687500,3.687500,1.427979,27200
1973-06-19,0.000000,3.750000,3.718750,3.750000,1.452182,1600
1973-06-20,0.000000,3.718750,3.687500,3.687500,1.427979,47200
1973-06-21,0.000000,3.671875,3.500000,3.500000,1.355369,392000
1973-06-22,0.000000,3.500000,3.500000,3.500000,1.355369,14400
1973-06-25,0.000000,3.468750,3.453125,3.453125,1.337218,6400
1973-06-26,0.000000,3.531250,3.437500,3.500000,1.355369,11200
