Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.937500,2.937500,2.937500,2.937500,0.082334,164400
1973-02-22,2.958333,2.958333,2.958333,2.958333,0.082918,188400
1973-02-23,2.958333,2.958333,2.958333,2.958333,0.082918,222000
1973-02-26,2.895833,2.895833,2.895833,2.895833,0.081166,61200
1973-02-27,2.791667,2.791667,2.791667,2.791667,0.078246,368400
1973-02-28,2.770833,2.770833,2.770833,2.770833,0.077662,414000
1973-03-01,2.625000,2.625000,2.625000,2.625000,0.073575,444000
1973-03-02,2.666667,2.666667,2.666667,2.666667,0.074743,109200
1973-03-05,2.802083,2.802083,2.802083,2.802083,0.078538,135600
1973-03-06,2.895833,2.895833,2.895833,2.895833,0.081166,202800
1973-03-07,2.864583,2.864583,2.864583,2.864583,0.080290,184800
1973-03-08,2.906250,2.906250,2.906250,2.906250,0.081458,64800
1973-03-09,2.802083,2.802083,2.802083,2.802083,0.078538,290400
1973-03-12,2.791667,2.791667,2.791667,2.791667,0.078246,312000
1973-03-13,2.770833,2.770833,2.770833,2.770833,0.077662,50400
1973-03-14,2.760417,2.760417,2.760417,2.760417,0.077370,73200
1973-03-15,2.666667,2.666667,2.666667,2.666667,0.074743,147600
1973-03-16,2.656250,2.656250,2.656250,2.656250,0.074451,73200
1973-03-19,2.677083,2.677083,2.677083,2.677083,0.075035,109200
1973-03-20,2.625000,2.625000,2.625000,2.625000,0.073575,169200
1973-03-21,2.625000,2.625000,2.625000,2.625000,0.073575,168000
1973-03-22,2.593750,2.593750,2.593750,2.593750,0.072699,108000
1973-03-23,2.583333,2.583333,2.583333,2.583333,0.072407,231600
1973-03-26,2.687500,2.687500,2.687500,2.687500,0.075327,80400
1973-03-27,2.718750,2.718750,2.718750,2.718750,0.076202,1088400
1973-03-28,2.760417,2.760417,2.760417,2.760417,0.077370,162000
1973-03-29,2.791667,2.791667,2.791667,2.791667,0.078246,124800
1973-03-30,2.791667,2.791667,2.791667,2.791667,0.078246,150000
1973-04-02,2.739583,2.739583,2.739583,2.739583,0.076786,97200
1973-04-03,2.718750,2.718750,2.718750,2.718750,0.076202,60000
1973-04-04,2.739583,2.739583,2.739583,2.739583,0.076786,54000
1973-04-05,2.739583,2.739583,2.739583,2.739583,0.076786,106800
1973-04-06,2.750000,2.750000,2.750000,2.750000,0.077078,97200
1973-04-09,2.739583,2.739583,2.739583,2.739583,0.076786,116400
1973-04-10,2.697917,2.697917,2.697917,2.697917,0.075619,322800
1973-04-11,2.854167,2.854167,2.854167,2.854167,0.079998,346800
1973-04-12,2.906250,2.906250,2.906250,2.906250,0.081458,164400
1973-04-13,2.906250,2.906250,2.906250,2.906250,0.081458,183600
1973-04-16,2.895833,2.895833,2.895833,2.895833,0.081166,69600
1973-04-17,2.937500,2.937500,2.937500,2.937500,0.082334,213600
1973-04-18,2.937500,2.937500,2.937500,2.937500,0.082334,52800
1973-04-19,3.104167,3.104167,3.104167,3.104167,0.087005,348000
1973-04-23,3.020833,3.020833,3.020833,3.020833,0.084669,175200
1973-04-24,2.885417,2.885417,2.885417,2.885417,0.080874,327600
1973-04-25,2.833333,2.833333,2.833333,2.833333,0.079414,164400
1973-04-26,2.895833,2.895833,2.895833,2.895833,0.081166,489600
1973-04-27,2.833333,2.833333,2.833333,2.833333,0.079414,118800
1973-04-30,2.906250,2.906250,2.906250,2.906250,0.081458,44400
1973-05-01,2.875000,2.875000,2.875000,2.875000,0.080582,44400
1973-05-02,2.843750,2.843750,2.843750,2.843750,0.079706,90000
1973-05-03,0.000000,2.895833,2.770833,2.875000,0.080582,256800
1973-05-04,0.000000,2.895833,2.833333,2.833333,0.079414,84000
1973-05-07,0.000000,2.875000,2.812500,2.854167,0.079998,145200
1973-05-08,0.000000,2.885417,2.833333,2.875000,0.080582,158400
1973-05-09,0.000000,2.895833,2.770833,2.791667,0.078246,141600
1973-05-10,0.000000,2.854167,2.760417,2.833333,0.079414,88800
1973-05-11,0.000000,2.958333,2.833333,2.958333,0.082918,103200
1973-05-14,0.000000,2.947917,2.854167,2.854167,0.079998,33600
1973-05-15,0.000000,2.843750,2.760417,2.833333,0.079414,106800
1973-05-16,0.000000,2.895833,2.843750,2.843750,0.079706,22800
1973-05-17,0.000000,2.906250,2.875000,2.895833,0.081166,48000
1973-05-18,0.000000,2.937500,2.802083,2.802083,0.078538,117600
1973-05-21,0.000000,2.812500,2.760417,2.791667,0.078246,57600
1973-05-22,0.000000,2.895833,2.833333,2.833333,0.079414,55200
1973-05-23,0.000000,2.895833,2.833333,2.875000,0.080582,39600
1973-05-24,0.000000,2.937500,2.875000,2.937500,0.082334,189600
1973-05-25,0.000000,3.125000,2.979167,3.114583,0.087297,250800
1973-05-29,0.000000,3.208333,3.104167,3.166667,0.088757,150000
1973-05-30,0.000000,3.125000,2.979167,2.979167,0.083502,328800
1973-05-31,0.000000,3.000000,2.958333,3.000000,0.084085,602400
1973-06-01,0.000000,3.020833,2.947917,2.947917,0.082626,262800
1973-06-04,0.000000,2.927083,2.833333,2.833333,0.079414,51600
1973-06-05,0.000000,2.916667,2.833333,2.875000,0.080582,68400
1973-06-06,0.000000,2.937500,2.885417,2.895833,0.081166,102000
1973-06-07,0.000000,2.916667,2.875000,2.916667,0.081750,13200
1973-06-08,0.000000,2.979167,2.937500,2.958333,0.082918,274800
1973-06-11,0.000000,2.989583,2.958333,2.989583,0.083793,259200
1973-06-12,0.000000,3.020833,2.916667,3.020833,0.084669,174000
1973-06-13,0.000000,3.020833,2.958333,2.958333,0.082918,40800
1973-06-14,0.000000,2.979167,2.958333,2.979167,0.083502,27600
1973-06-15,0.000000,2.937500,2.895833,2.916667,0.081750,52800
1973-06-18,0.000000,2.916667,2.895833,2.895833,0.081166,14400
1973-06-19,0.000000,2.906250,2.802083,2.822917,0.079122,42000
1973-06-20,0.000000,2.854167,2.781250,2.791667,0.078246,49200
1973-06-21,0.000000,2.843750,2.770833,2.770833,0.077662,128400
1973-06-22,0.000000,2.833333,2.791667,2.791667,0.078246,168000
1973-06-25,0.000000,2.812500,2.791667,2.791667,0.078246,26400
1973-06-26,0.000000,2.864583,2.812500,2.854167,0.079998,36000
1973-06-27,0.000000,2.916667,2.833333,2.916667,0.081750,93600
1973-06-28,0.000000,2.947917,2.906250,2.937500,0.082334,30000
1973-06-29,0.000000,3.000000,2.895833,2.958333,0.082918,134400
1973-07-02,0.000000,2.989583,2.958333,2.979167,0.083502,55200
1973-07-03,0.000000,2.937500,2.875000,2.875000,0.080582,19200
1973-07-05,0.000000,2.947917,2.885417,2.947917,0.082626,43200
1973-07-06,0.000000,3.020833,3.000000,3.020833,0.084669,150000
1973-07-09,0.000000,3.031250,3.000000,3.031250,0.084961,80400
1973-07-10,0.000000,3.156250,3.041667,3.145833,0.088173,312000
1973-07-11,0.000000,3.354167,3.166667,3.354167,0.094012,141600
1973-07-12,0.000000,3.416667,3.354167,3.375000,0.094596,122400
1973-07-13,0.000000,3.437500,3.385417,3.395833,0.095180,148800
1973-07-16,0.000000,3.437500,3.395833,3.416667,0.095764,44400
1973-07-17,0.000000,3.531250,3.416667,3.510417,0.098392,117600
1973-07-18,0.000000,3.583333,3.489583,3.489583,0.097808,110400
1973-07-19,0.000000,3.531250,3.458333,3.531250,0.098976,190800
1973-07-20,0.000000,3.541667,3.468750,3.500000,0.098100,67200
1973-07-23,0.000000,3.604167,3.520833,3.583333,0.100435,81600
1973-07-24,0.000000,3.552083,3.500000,3.500000,0.098100,128400
1973-07-25,0.000000,3.625000,3.531250,3.625000,0.101603,99600
1973-07-26,0.000000,3.625000,3.552083,3.604167,0.101019,80400
1973-07-27,0.000000,3.625000,3.604167,3.614583,0.101311,43200
1973-07-30,0.000000,3.687500,3.635417,3.687500,0.103355,28800
1973-07-31,0.000000,3.854167,3.750000,3.854167,0.108026,93600
1973-08-01,0.000000,3.854167,3.750000,3.750000,0.105107,252000
1973-08-02,0.000000,3.781250,3.708333,3.781250,0.105983,54000
1973-08-03,0.000000,3.791667,3.708333,3.708333,0.103939,153600
1973-08-06,0.000000,3.750000,3.697917,3.729167,0.104523,156000
1973-08-07,0.000000,3.781250,3.729167,3.760417,0.105399,57600
1973-08-08,0.000000,3.750000,3.708333,3.708333,0.103939,68400
1973-08-09,0.000000,3.770833,3.729167,3.750000,0.105107,78000
1973-08-10,0.000000,3.770833,3.750000,3.750000,0.105107,28800
1973-08-13,0.000000,3.770833,3.708333,3.739583,0.104815,48000
1973-08-14,0.000000,3.708333,3.677083,3.708333,0.103939,110400
1973-08-15,0.000000,3.708333,3.666667,3.666667,0.102771,72000
1973-08-16,0.000000,3.718750,3.666667,3.708333,0.103939,207600
1973-08-17,0.000000,3.750000,3.708333,3.729167,0.104523,104400
1973-08-20,0.000000,3.750000,3.729167,3.729167,0.104523,55200
1973-08-21,0.000000,3.770833,3.729167,3.770833,0.105691,66000
1973-08-22,0.000000,3.791667,3.770833,3.791667,0.106275,51600
1973-08-23,0.000000,3.802083,3.770833,3.770833,0.105691,80400
1973-08-24,0.000000,3.791667,3.750000,3.750000,0.105107,22800
1973-08-27,0.000000,3.770833,3.750000,3.770833,0.105691,158400
1973-08-28,0.000000,3.802083,3.760417,3.791667,0.106275,24000
1973-08-29,0.000000,3.843750,3.802083,3.843750,0.107735,466800
1973-08-30,0.000000,4.000000,3.916667,3.979167,0.111530,72000
1973-08-31,0.000000,4.156250,4.020833,4.156250,0.116493,108000
1973-09-04,0.000000,4.156250,4.062500,4.125000,0.115618,166800
1973-09-05,0.000000,4.145833,4.093750,4.145833,0.116202,108000
1973-09-06,0.000000,4.156250,4.114583,4.125000,0.115618,61200
1973-09-07,0.000000,4.104167,4.041667,4.041667,0.113282,268800
1973-09-10,0.000000,4.072917,4.041667,4.041667,0.113282,48000
1973-09-11,0.000000,4.083333,3.979167,3.979167,0.111530,66000
1973-09-12,0.000000,4.000000,3.968750,3.968750,0.111238,44400
1973-09-13,0.000000,4.000000,3.968750,3.979167,0.111530,34800
1973-09-14,0.000000,4.041667,4.000000,4.020833,0.112698,45600
1973-09-17,0.000000,4.052083,3.916667,3.927083,0.110070,74400
1973-09-18,0.000000,3.927083,3.875000,3.927083,0.110070,72000
1973-09-19,0.000000,4.000000,3.937500,4.000000,0.112114,164400
1973-09-20,0.000000,4.041667,4.000000,4.000000,0.112114,145200
1973-09-21,0.000000,4.010417,3.979167,4.000000,0.112114,128400
1973-09-24,0.000000,4.125000,4.031250,4.125000,0.115618,111600
1973-09-25,0.000000,4.197917,4.166667,4.177083,0.117077,171600
1973-09-26,0.000000,4.208333,4.156250,4.166667,0.116785,74400
1973-09-27,0.000000,4.218750,4.166667,4.177083,0.117077,93600
1973-09-28,0.000000,4.229167,4.135417,4.177083,0.117077,66000
1973-10-01,0.000000,4.177083,4.125000,4.125000,0.115618,398400
1973-10-02,0.000000,4.125000,4.083333,4.104167,0.115034,69600
1973-10-03,0.000000,4.166667,4.083333,4.104167,0.115034,529200
1973-10-04,0.000000,4.114583,4.072917,4.093750,0.114742,24000
1973-10-05,0.000000,4.166667,4.062500,4.166667,0.116785,75600
1973-10-08,0.000000,4.166667,4.166667,4.166667,0.116785,27600
1973-10-09,0.000000,4.177083,4.156250,4.166667,0.116785,87600
1973-10-10,0.000000,4.208333,4.166667,4.187500,0.117369,112800
1973-10-11,0.000000,4.197917,4.166667,4.166667,0.116785,98400
1973-10-12,0.000000,4.250000,4.177083,4.250000,0.119121,111600
1973-10-15,0.000000,4.291667,4.229167,4.229167,0.118537,148800
1973-10-16,0.000000,4.260417,4.187500,4.187500,0.117369,102000
1973-10-17,0.000000,4.208333,4.177083,4.208333,0.117953,174000
1973-10-18,0.000000,4.208333,4.177083,4.177083,0.117077,111600
1973-10-19,0.000000,4.250000,4.177083,4.177083,0.117077,126000
1973-10-22,0.000000,4.156250,4.104167,4.125000,0.115618,148800
1973-10-23,0.000000,4.104167,4.031250,4.072917,0.114158,127200
1973-10-24,0.000000,4.052083,3.979167,3.979167,0.111530,294000
1973-10-25,0.000000,3.947917,3.843750,3.843750,0.107735,78000
1973-10-26,0.000000,3.895833,3.854167,3.875000,0.108610,81600
1973-10-29,0.000000,3.895833,3.760417,3.760417,0.105399,148800
1973-10-30,0.000000,3.854167,3.718750,3.718750,0.104231,103200
1973-10-31,0.000000,3.781250,3.708333,3.750000,0.105107,163200
1973-11-01,0.000000,3.750000,3.687500,3.718750,0.104231,45600
1973-11-02,0.000000,3.708333,3.625000,3.645833,0.102187,108000
1973-11-05,0.000000,3.750000,3.645833,3.645833,0.102187,157200
1973-11-06,0.000000,3.625000,3.541667,3.604167,0.101019,82800
1973-11-07,0.000000,3.562500,3.437500,3.437500,0.096348,67200
1973-11-08,0.000000,3.520833,3.395833,3.500000,0.098100,72000
1973-11-09,0.000000,3.666667,3.583333,3.666667,0.102771,54000
1973-11-12,0.000000,3.625000,3.552083,3.552083,0.099560,64800
1973-11-13,0.000000,3.541667,3.479167,3.541667,0.099268,122400
1973-11-14,0.000000,3.645833,3.583333,3.645833,0.102187,37200
1973-11-15,0.000000,3.687500,3.562500,3.625000,0.101603,562800
1973-11-16,0.000000,3.666667,3.562500,3.583333,0.100435,33600
1973-11-19,0.000000,3.562500,3.395833,3.395833,0.095180,316800
1973-11-20,0.000000,3.333333,3.229167,3.229167,0.090509,308400
1973-11-21,0.000000,3.375000,3.270833,3.333333,0.093428,133200
1973-11-23,0.000000,3.395833,3.354167,3.395833,0.095180,60000
1973-11-26,0.000000,3.437500,3.406250,3.416667,0.095764,117600
1973-11-27,0.000000,3.458333,3.395833,3.458333,0.096932,120000
1973-11-28,0.000000,3.562500,3.479167,3.562500,0.099852,66000
1973-11-29,0.000000,3.604167,3.541667,3.583333,0.100435,84000
1973-11-30,0.000000,3.687500,3.583333,3.583333,0.100435,123600
1973-12-03,0.000000,3.604167,3.583333,3.583333,0.100435,82800
1973-12-04,0.000000,3.614583,3.562500,3.604167,0.101019,56400
