Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,0.882813,0.880208,0.880208,0.002097,249600
1972-06-02,0.882813,0.890625,0.882813,0.882813,0.002103,172800
1972-06-05,0.882813,0.895833,0.880208,0.895833,0.002134,302400
1972-06-06,0.895833,0.911458,0.893229,0.895833,0.002134,196800
1972-06-07,0.895833,0.895833,0.888021,0.888021,0.002115,48000
1972-06-08,0.888021,0.895833,0.885417,0.890625,0.002122,144000
1972-06-09,0.890625,0.895833,0.885417,0.890625,0.002122,43200
1972-06-12,0.895833,0.901042,0.895833,0.901042,0.002146,24000
1972-06-13,0.898438,0.898438,0.885417,0.885417,0.002109,76800
1972-06-14,0.885417,0.890625,0.885417,0.885417,0.002109,244800
1972-06-15,0.890625,0.893229,0.890625,0.893229,0.002128,206400
1972-06-16,0.893229,0.901042,0.893229,0.901042,0.002146,48000
1972-06-19,0.895833,0.895833,0.893229,0.893229,0.002128,91200
1972-06-20,0.893229,0.895833,0.893229,0.895833,0.002134,14400
1972-06-21,0.895833,0.895833,0.893229,0.893229,0.002128,48000
1972-06-22,0.893229,0.901042,0.890625,0.901042,0.002146,86400
1972-06-23,0.906250,0.914063,0.906250,0.914063,0.002178,96000
1972-06-26,0.914063,0.916667,0.906250,0.916667,0.002184,62400
1972-06-27,0.921875,0.927083,0.921875,0.921875,0.002196,67200
1972-06-28,0.929688,0.947917,0.929688,0.947917,0.002258,144000
1972-06-29,0.945313,0.945313,0.945313,0.945313,0.002252,28800
1972-06-30,0.947917,0.958333,0.947917,0.958333,0.002283,72000
1972-07-03,0.958333,0.973958,0.958333,0.973958,0.002320,57600
1972-07-05,0.973958,0.973958,0.963542,0.963542,0.002295,211200
1972-07-06,0.968750,1.010417,0.968750,1.010417,0.002407,254400
1972-07-07,1.010417,1.026042,1.010417,1.015625,0.002419,412800
1972-07-10,1.015625,1.020833,1.010417,1.020833,0.002432,0
1972-07-11,1.020833,1.023438,1.015625,1.020833,0.002432,2904000
